Course ID,Course code,Course number,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Key,Faculty,Department,Program,Level,Degree,Title,Description,Metadata,Type,Website
47848,ACTT,201,Introduction to Acting I,3.0,LAB,Laboratory,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,FFA_0545,FFA,Theatre,,Undergraduate,Bachelor,INTRODUCTION TO ACTING I,,Hands-on workshops;Games/Role-playing,Course-integrated,No website provided
47848,ACTT,201,Introduction to Acting I,3.0,STU,Studio,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,FFA_561,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Introduction to Acting,Development of imagination and physical expression,Artistic performances/exhibits,Course-integrated,No website provided
47848,ACTT,201,Introduction to Acting I,3.0,STU,Studio,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,FFA_0545,FFA,Theatre,,Undergraduate,Bachelor,INTRODUCTION TO ACTING I,,Hands-on workshops;Games/Role-playing,Course-integrated,No website provided
47849,ACTT,202,Introduction to Acting II,3.0,LAB,Laboratory,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,FFA_562,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Introduction to Acting ll,"Development of skills pertaining to language, character, and text",Artistic performances/exhibits,Course-integrated,No website provided
47849,ACTT,202,Introduction to Acting II,3.0,LAB,Laboratory,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,FFA_0546,FFA,Theatre,,Undergraduate,Bachelor,INTRODUCTION TO ACTING II,,Hands-on workshops,Course-integrated,No website provided
47849,ACTT,202,Introduction to Acting II,3.0,STU,Studio,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,FFA_562,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Introduction to Acting ll,"Development of skills pertaining to language, character, and text",Artistic performances/exhibits,Course-integrated,No website provided
47849,ACTT,202,Introduction to Acting II,3.0,STU,Studio,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,FFA_0546,FFA,Theatre,,Undergraduate,Bachelor,INTRODUCTION TO ACTING II,,Hands-on workshops,Course-integrated,No website provided
47850,ACTT,209,The Engaged Theatre Artist,3.0,LAB,Laboratory,,UGRD,TPER 209 = ACTT 209,FFA_563,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,The Engaged Theatre Artist,Combines theoretical readings and practical explorations relating to diverse perspectives on an artist’s role in society,Case studies,Course-integrated,No website provided
47850,ACTT,209,The Engaged Theatre Artist,3.0,STU,Studio,,UGRD,TPER 209 = ACTT 209,FFA_563,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,The Engaged Theatre Artist,Combines theoretical readings and practical explorations relating to diverse perspectives on an artist’s role in society,Case studies,Course-integrated,No website provided
47851,ACTT,210,Scene Study I,3.0,LAB,Laboratory,pre req for ACTT 210,UGRD,TPER 210 = ACTT 210,FFA_564,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Scene Study l,"Emphasis on movement, voice, and text interpretation",Laboratory/Clinics;Case studies;,Course-integrated,No website provided
47851,ACTT,210,Scene Study I,3.0,STU,Studio,pre req for ACTT 210,UGRD,TPER 210 = ACTT 210,FFA_564,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Scene Study l,"Emphasis on movement, voice, and text interpretation",Laboratory/Clinics;Case studies;,Course-integrated,No website provided
47852,ACTT,211,Voice and Movement for the Stage I,3.0,LAB,Laboratory,,UGRD,TPER 231 = ACTT 211,FFA_565,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Voice and Movement for the Stage l,"Cultivates the expressive potential of the actor’s instrument: the body, voice, and imagination",Laboratory/Clinics,Course-integrated,No website provided
47852,ACTT,211,Voice and Movement for the Stage I,3.0,STU,Studio,,UGRD,TPER 231 = ACTT 211,FFA_565,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Voice and Movement for the Stage l,"Cultivates the expressive potential of the actor’s instrument: the body, voice, and imagination",Laboratory/Clinics,Course-integrated,No website provided
47856,ACTT,331,Scene Study II,3.0,STU,Studio,Prerequisite ACTT 331,UGRD,TPER 311 = ACTT 331,FFA_569,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Scene Study ll,Course focus on non‑realistic genres,Laboratory/Clinics,Course-integrated,No website provided
47857,ACTT,360,Ensemble II,3.0,LAB,Laboratory,Prerequisite for ACTT 360,UGRD,TPER 325 = ACTT 360,FFA_573,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Ensembles ll,Course focuses on skill development and performance of a particular theatrical genre,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47857,ACTT,360,Ensemble II,3.0,STU,Studio,Prerequisite for ACTT 360,UGRD,TPER 325 = ACTT 360,FFA_573,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Ensembles ll,Course focuses on skill development and performance of a particular theatrical genre,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47858,ACTT,321,Movement for the Stage II,3.0,STU,Studio,"Prerequisite: The following course must be completed previously: ACTT 211. If prerequisites are not satisfied, permission of the Program Coordinator is required",UGRD,TPER 331 = ACTT 321,FFA_567,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Movement for the Stage ll,Various movement-based ensemble performance techniques and methods,Artistic performances/exhibits,Course-integrated,No website provided
47859,ACTT,435,CREATION PROJECT,3.0,LAB,Laboratory,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,TPER 333= ACTT 435,FFA_580,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Creation Project,Course offers supervised application of theatrical skills,Artistic performances/exhibits;Capstone project,Course-integrated,No website provided
47859,ACTT,435,CREATION PROJECT,3.0,STU,Studio,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,TPER 333= ACTT 435,FFA_580,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Creation Project,Course offers supervised application of theatrical skills,Artistic performances/exhibits;Capstone project,Course-integrated,No website provided
47860,ACTT,325,Voice for the Stage II,3.0,STU,Studio,Prerequisite for ACTT 325,UGRD,TPER 345 = ACTT 325,FFA_568,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Voice for the Stage ll,"Course emphasizes embodiment, self‑awareness",Artistic performances/exhibits,Course-integrated,No website provided
47861,ACTT,355,Voice for the Stage III,3.0,STU,Studio,"Prerequisite ACTT 325. If prerequisites are not satisfied, permission of the Department of Theatre
is required.",UGRD,TPER 355 = ACTT 355,FFA_571,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Voice for the Stage lll,Thorough introduction to a particular voice‑based performance technique,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47862,ACTT,398,Special Topics in Acting,3.0,LAB,Laboratory,"Prerequisite: The following course must be completed previously: ACTT 211. If prerequisites are not satisfied, permission of the Program Coordinator is required",UGRD,,FFA_577,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Special Topics in Acting,Provides opportunities for studies in selected styles or modes of theatre performance,Artistic performances/exhibits,Course-integrated,No website provided
47862,ACTT,398,Special Topics in Acting,3.0,STU,Studio,"Prerequisite: The following course must be completed previously: ACTT 211. If prerequisites are not satisfied, permission of the Program Coordinator is required",UGRD,,FFA_577,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Special Topics in Acting,Provides opportunities for studies in selected styles or modes of theatre performance,Artistic performances/exhibits,Course-integrated,No website provided
47863,ACTT,399,Special Topics in Acting,6.0,STU,Studio,,UGRD,,FFA_578,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Special Topics in Acting,Provides opportunities for studies in selected styles or modes of theatre performance,Artistic performances/exhibits,Course-integrated,No website provided
47864,ACTT,358,Movement for the Stage III,3.0,LAB,Laboratory,Prerequisite: ACTT 321,UGRD,TPER 431 = ACTT 358,FFA_572,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Movement for the Stage lll,Course deepens student learning in a particular movement-based performance technique,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47864,ACTT,358,Movement for the Stage III,3.0,STU,Studio,Prerequisite: ACTT 321,UGRD,TPER 431 = ACTT 358,FFA_572,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Movement for the Stage lll,Course deepens student learning in a particular movement-based performance technique,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47865,ACTT,498,Special Topics in Acting,3.0,LAB,Laboratory,"PREREQUISITE: The following courses must be completed previously: ACTT 321 and 325. If prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,,FFA_590,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Special Topics in Acting,Provides opportunities for studies in selected styles or modes of theatre performance,Games/Role-playing;Artistic performances/exhibits,Course-integrated,No website provided
47865,ACTT,498,Special Topics in Acting,3.0,STU,Studio,"PREREQUISITE: The following courses must be completed previously: ACTT 321 and 325. If prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,,FFA_590,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Special Topics in Acting,Provides opportunities for studies in selected styles or modes of theatre performance,Games/Role-playing;Artistic performances/exhibits,Course-integrated,No website provided
47866,ACTT,499,Special Topics in Acting,6.0,STU,Studio,,UGRD,,FFA_591,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Special Topics in Acting,Provides opportunities for studies in selected styles or modes of theatre performance,Games/Role-playing;Artistic performances/exhibits,Course-integrated,No website provided
48916,ACTT,370,Clown for the Actor,3.0,STU,Studio,"PREREQUISITE: The following courses must be completed previously: ACTT 321 and 325. If prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,,FFA_575,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Clown for the Actor,Course focuses on the development of clown characters and situations,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
48917,ACTT,372,Stage Combat,3.0,STU,Studio,for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 321.,UGRD,,FFA_576,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Stage Combat,Course focuses on the development of unarmed and armed stage combat ,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
48922,ACTT,455,Voice for the Stage IV,3.0,LAB,Laboratory,"Prerequisite ACTT 325. If prerequisites are not satisfied, permission of the Department of Theatre
is required.",UGRD,,FFA_584,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Voice for Stage lV,"Advanced exploration of a particular voice‑based performance technique, method, or approach",Capstone project;Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
48922,ACTT,455,Voice for the Stage IV,3.0,STU,Studio,"Prerequisite ACTT 325. If prerequisites are not satisfied, permission of the Department of Theatre
is required.",UGRD,,FFA_584,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Voice for Stage lV,"Advanced exploration of a particular voice‑based performance technique, method, or approach",Capstone project;Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
48923,ACTT,458,Movement for the Stage IV,3.0,STU,Studio,Course Prerequisite: ACTT 321,UGRD,ACTT 458 = TPER 431,FFA_585,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Movement for Stage lV,"Exploration of a particular movement‑based performance technique, method, or approach",Artistic performances/exhibits;Games/Role-playing;Capstone project,Course-integrated,No website provided
50411,ACTT,362,LABAN FOR THE ACTOR,3.0,STU,Studio,"PREREQUISITE: The following courses must be completed previously: ACTT 321 and 325. If prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,,FFA_574,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Laban for the Actor,Using Laban’s effort actions to investigate movement and space ,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
237,ACTU,286,Actuarial Mathematics Lab I,1.0,LEC,Lecture,,UGRD,ACTU 286 = MATH 229,FAS_318,FAS,Mathematics and Statistics,"Actuarial Mathematics /
Actuarial Mathematics and Finance",Undergraduate,Bachelor,Actuarial Mathematics Lab I,Lab,,Course-integrated,No website provided
237,ACTU,286,Actuarial Mathematics Lab I,1.0,REA,Reading,,UGRD,ACTU 286 = MATH 229,FAS_318,FAS,Mathematics and Statistics,"Actuarial Mathematics /
Actuarial Mathematics and Finance",Undergraduate,Bachelor,Actuarial Mathematics Lab I,Lab,,Course-integrated,No website provided
239,ACTU,386,Actuarial Mathematics Lab II,2.0,LEC,Lecture,,UGRD,ACTU386 = MATH232,FAS_319,FAS,Mathematics and Statistics,"Actuarial Mathematics /
Actuarial Mathematics and Finance",Undergraduate,Bachelor,Actuarial Mathematics Lab II,Lab,,Course-integrated,No website provided
239,ACTU,386,Actuarial Mathematics Lab II,2.0,LEC,Lecture,,UGRD,,FAS_319,FAS,Mathematics and Statistics,"Actuarial Mathematics /
Actuarial Mathematics and Finance",Undergraduate,Bachelor,Actuarial Mathematics Lab II,Lab,,Course-integrated,No website provided
244,ACTU,486,Actuarial Mathematics Lab III,2.0,LEC,Lecture,,UGRD,ACTU 486 = MATH 429,FAS_320,FAS,Mathematics and Statistics,"Actuarial Mathematics /
Actuarial Mathematics and Finance",Undergraduate,Bachelor,Actuarial Mathematics Lab III,"Lab, workshop",,Course-integrated,No website provided
253,ADED,344,Design of Adult Learning Projects,3.0,LEC,Lecture,,UGRD,,FAS_741,FAS,Education,Adult Education,Undergraduate (cross listed at GDip level),Bachelor,Design of Adult Learning Projects,Design & conduct a learning activity in the area of subject matter specialty,,Course-integrated,No website provided
254,ADED,345,Evaluating Adult Learning Projects,3.0,LEC,Lecture,,UGRD,,FAS_742,FAS,Education,Adult Education,Undergraduate (cross listed at GDip level),Bachelor,Evaluating Adult Learning Projects,Conduct an evaluation of an adult learning project in the area of subject matter specialty,,Course-integrated,No website provided
709,AERO,465,GAS TURBINE DESIGN,3.5,LAB,Laboratory,Course Prerequisite: AERO462,UGRD,AERO 465 = MECH 465,GCS_345,GCS,"Mechanical, Industrial and Aerospace Engineering (MIAE)",Aerospace Engineering,Undergraduate,Bachelor,Gas Turbine Design,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
709,AERO,465,GAS TURBINE DESIGN,3.5,LEC,Lecture,Course Prerequisite: AERO462,UGRD,AERO 465 = MECH 465,GCS_345,GCS,"Mechanical, Industrial and Aerospace Engineering (MIAE)",Aerospace Engineering,Undergraduate,Bachelor,Gas Turbine Design,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
